Designator,Mid X,Mid Y,Rotation,Layer
J1,96.495,-3.79,0.0,top
J10,91.41,-15.26,90.0,top
J11,57.17,-10.135,270.0,top
J12,68.565,-10.16,90.0,top
J2,6.355,-26.65,270.0,top
J3,96.495,-77.45,0.0,top
J4,25.405,-7.62,270.0,top
J5,91.41,-26.69,90.0,top
J6,91.41,-38.12,90.0,top
J7,91.41,-49.55,90.0,top
J8,91.41,-64.79,90.0,top
J9,47.01,-10.135,270.0,top
U1,25.141974,-25.136974,0.0,top
